title,label
"Walmart rallies after management issues optimistic outlook, lifting investor sentiment",1
Qualcomm gains after better-than-expected sales results following upbeat management commentary,1
"Nike announces major AI partnership, boosting confidence in the sector",1
"After the closing bell, AMD shares jump after strong demand outlook",1
"Before the market open, Tesla cuts full-year profit forecast",0
"JPMorgan reports decline in international sales, hurting investor sentiment",0
"During the morning session, Amazon posts weaker-than-expected earnings results",0
Amazon warns of slowing sales growth in early trading,0
AMD sees strong improvement in operating margin in premarket trading,1
"Nike reports drop in advertising revenue while analysts cut price targets, supporting a bearish outlook",0
Walmart delays major product launch as demand weakens across major segments,0
"ExxonMobil reports strong cash flow and higher guidance amid strong consumer demand, lifting investor sentiment",1
"JPMorgan gains after better-than-expected sales results, sending shares higher",1
"Goldman Sachs announces major AI partnership while analysts raise price targets, sending shares higher",1
"Uber posts robust holiday quarter results on strong guidance for the second half, boosting confidence in the sector",1
Shopify benefits from lower production costs following upbeat management commentary,1
"After the closing bell, Google wins large government contract",1
Visa misses delivery estimates for the quarter as trading volume rises,0
"Before the market open, JPMorgan sees rising costs pressure profitability",0
Meta reports strong cash flow and higher guidance in early trading,1
"In premarket trading, Mastercard reports strong cash flow and higher guidance",1
"Nike announces major AI partnership, sending shares higher",1
AMD sees rising costs pressure profitability as investors worry about slowing growth,0
Qualcomm expands into new international markets while analysts raise price targets,1
Meta delivers upbeat forecast for next quarter before the market open,1
"Amazon sees rising costs pressure profitability amid weaker consumer spending, hurting investor sentiment",0
Walmart raises full-year revenue guidance as demand rebounds across segments,1
"Pfizer sees rising costs pressure profitability, sending shares lower",0
"In early trading, Intel reports drop in advertising revenue",0
"Adobe announces strategic acquisition to boost growth following upbeat management commentary, supporting a bullish outlook",1
AMD lowers production targets for the year as macroeconomic pressure intensifies,0
Nike misses delivery estimates for the quarter as macroeconomic pressure intensifies,0
Salesforce shares fall after weak demand outlook as investors worry about slowing growth,0
Boeing issues cautious guidance for next quarter as macroeconomic pressure intensifies,0
"Google falls after disappointing subscriber growth due to soft demand in overseas markets, hurting investor sentiment",0
"Nvidia sees rising costs pressure profitability, raising concerns across the sector",0
"IBM reports decline in margins this quarter as macroeconomic pressure intensifies, raising concerns across the sector",0
"In premarket trading, Target faces legal challenges tied to recent acquisition",0
"Nvidia delivers upbeat forecast for next quarter as market sentiment turns positive, supporting a bullish outlook",1
"Ford cuts full-year profit forecast following disappointing management guidance, hurting investor sentiment",0
"Intel reports decline in margins this quarter, sending shares lower",0
Salesforce reports stronger-than-expected quarterly earnings in early trading,1
"Mastercard raises full-year revenue guidance, sending shares higher",1
"In premarket trading, Intel shares jump after strong demand outlook",1
"In premarket trading, Mastercard launches successful new product line",1
Intel reports decline in margins this quarter due to soft demand in overseas markets,0
"Netflix shares jump after strong demand outlook on strong guidance for the second half, supporting a bullish outlook",1
Target posts weaker-than-expected earnings results due to soft demand in overseas markets,0
"Oracle posts record cloud revenue growth, lifting investor sentiment",1
"Netflix reports strong cash flow and higher guidance as investor confidence improves, boosting confidence in the sector",1
"Oracle benefits from lower production costs following upbeat management commentary, sending shares higher",1
Nvidia beats analyst expectations on profit in premarket trading,1
"Google benefits from lower production costs, sending shares higher",1
Pfizer misses delivery estimates for the quarter in premarket trading,0
Ford reports drop in advertising revenue amid uncertainty in the tech sector,0
"Oracle posts record cloud revenue growth as margins improve across core businesses, supporting a bullish outlook",1
"Target sees rising costs pressure profitability after rising costs hurt margins, supporting a bearish outlook",0
"After the closing bell, Nike sees strong improvement in operating margin",1
Adobe receives analyst downgrade after earnings miss in premarket trading,0
"Shopify misses delivery estimates for the quarter, sending shares lower",0
Adobe beats analyst expectations on profit as trading volume rises,1
Google rallies after management issues optimistic outlook while analysts raise price targets,1
"Adobe announces stock buyback plan after cost controls improve profitability, sending shares higher",1
"After the closing bell, Nvidia launches successful new product line",1
Oracle cuts full-year profit forecast in premarket trading,0
Walmart misses quarterly revenue expectations as investors worry about slowing growth,0
"Nvidia posts robust holiday quarter results driven by AI-related growth, boosting confidence in the sector",1
Mastercard issues cautious guidance for next quarter after the closing bell,0
"Boeing receives analyst downgrade after earnings miss amid weaker consumer spending, hurting investor sentiment",0
Tesla reports stronger-than-expected quarterly earnings as market sentiment turns positive,1
Salesforce reports decline in margins this quarter during the morning session,0
"Microsoft announces major AI partnership as market sentiment turns positive, supporting a bullish outlook",1
Oracle gains after better-than-expected sales results driven by AI-related growth,1
JPMorgan shares jump after strong demand outlook in early trading,1
"ExxonMobil posts record cloud revenue growth, supporting a bullish outlook",1
Intel misses delivery estimates for the quarter during the morning session,0
Amazon falls after disappointing subscriber growth as trading volume rises,0
"During the morning session, Ford benefits from lower production costs",1
Oracle receives analyst upgrade after earnings beat in early trading,1
"Visa reports decline in margins this quarter, hurting investor sentiment",0
"Nike launches successful new product line, lifting investor sentiment",1
"Salesforce announces strategic acquisition to boost growth after cost controls improve profitability, sending shares higher",1
"During the morning session, Mastercard expands into new international markets",1
ExxonMobil announces major AI partnership in early trading,1
"After the closing bell, JPMorgan reports stronger-than-expected quarterly earnings",1
Oracle expands into new international markets after the closing bell,1
Apple reports decline in margins this quarter due to soft demand in overseas markets,0
Qualcomm issues cautious guidance for next quarter as trading volume rises,0
"Netflix issues cautious guidance for next quarter as demand weakens across major segments, raising concerns across the sector",0
"Netflix expands into new international markets, lifting investor sentiment",1
IBM reports surge in subscription growth while analysts raise price targets,1
"During the morning session, Oracle sees strong improvement in operating margin",1
"As trading volume rises, AMD falls after disappointing subscriber growth",0
"Salesforce raises full-year revenue guidance amid strong consumer demand, lifting investor sentiment",1
Salesforce delays major product launch as trading volume rises,0
AMD shares fall after weak demand outlook during the morning session,0
Salesforce raises full-year revenue guidance before the market open,1
"After the closing bell, Ford delivers upbeat forecast for next quarter",1
Oracle posts robust holiday quarter results in early trading,1
"Microsoft announces stock buyback plan as margins improve across core businesses, lifting investor sentiment",1
"Adobe posts robust holiday quarter results as margins improve across core businesses, lifting investor sentiment",1
"Nike receives analyst upgrade after earnings beat driven by AI-related growth, boosting confidence in the sector",1
"Nvidia falls after disappointing subscriber growth as investors worry about slowing growth, raising concerns across the sector",0
Pfizer sees rising costs pressure profitability as trading volume rises,0
"Before the market open, Nike beats analyst expectations on profit",1
IBM posts record cloud revenue growth in premarket trading,1
Uber posts record cloud revenue growth as trading volume rises,1
"AMD posts weaker-than-expected earnings results as demand weakens across major segments, sending shares lower",0
"Uber announces strategic acquisition to boost growth while analysts raise price targets, sending shares higher",1
"In premarket trading, Mastercard sees strong improvement in operating margin",1
"Oracle faces supply chain disruptions in key markets, sending shares lower",0
"Target lowers production targets for the year after rising costs hurt margins, supporting a bearish outlook",0
Nike posts record cloud revenue growth in early trading,1
"Nike issues cautious guidance for next quarter, supporting a bearish outlook",0
"Ford posts robust holiday quarter results driven by AI-related growth, supporting a bullish outlook",1
"Goldman Sachs faces legal challenges tied to recent acquisition as macroeconomic pressure intensifies, sending shares lower",0
"In early trading, Visa announces layoffs amid restructuring concerns",0
Google issues cautious guidance for next quarter as investors worry about slowing growth,0
"Pfizer reports surge in subscription growth as demand rebounds across segments, supporting a bullish outlook",1
"Ford reports decline in international sales, raising concerns across the sector",0
"Nvidia receives analyst downgrade after earnings miss amid uncertainty in the tech sector, hurting investor sentiment",0
Nvidia faces legal challenges tied to recent acquisition in early trading,0
"In premarket trading, Walmart cuts full-year profit forecast",0
"In early trading, Uber expands into new international markets",1
Apple reports decline in margins this quarter in premarket trading,0
"Amazon delivers upbeat forecast for next quarter, supporting a bullish outlook",1
Amazon receives analyst downgrade after earnings miss during the morning session,0
"Goldman Sachs beats analyst expectations on profit as market sentiment turns positive, lifting investor sentiment",1
"Nike delays major product launch amid weaker consumer spending, hurting investor sentiment",0
Shopify reports stronger-than-expected quarterly earnings after cost controls improve profitability,1
"Target reports surge in subscription growth on strong guidance for the second half, supporting a bullish outlook",1
"IBM misses delivery estimates for the quarter as investors worry about slowing growth, raising concerns across the sector",0
Walmart announces major AI partnership as demand rebounds across segments,1
Mastercard shares fall after weak demand outlook as demand weakens across major segments,0
Boeing receives analyst upgrade after earnings beat driven by AI-related growth,1
"AMD posts record cloud revenue growth, boosting confidence in the sector",1
Airbnb wins large government contract driven by AI-related growth,1
Uber warns of slowing sales growth before the market open,0
"Ford benefits from lower production costs while analysts raise price targets, boosting confidence in the sector",1
Apple falls after disappointing subscriber growth as recession fears weigh on outlook,0
"In premarket trading, JPMorgan expands into new international markets",1
Microsoft posts robust holiday quarter results during the morning session,1
Netflix announces major AI partnership as demand rebounds across segments,1
Visa announces major AI partnership while analysts raise price targets,1
"During the morning session, Boeing beats analyst expectations on profit",1
"Microsoft reports surge in subscription growth as market sentiment turns positive, lifting investor sentiment",1
"Goldman Sachs reports decline in margins this quarter while analysts cut price targets, hurting investor sentiment",0
Amazon posts record cloud revenue growth as demand rebounds across segments,1
Salesforce reports surge in subscription growth after cost controls improve profitability,1
Salesforce reports decline in international sales amid uncertainty in the tech sector,0
Nike delivers upbeat forecast for next quarter while analysts raise price targets,1
Oracle gains after better-than-expected sales results in premarket trading,1
"Target posts weaker-than-expected earnings results, raising concerns across the sector",0
"Coca-Cola beats analyst expectations on profit, supporting a bullish outlook",1
ExxonMobil announces strategic acquisition to boost growth in early trading,1
ExxonMobil delays major product launch before the market open,0
"Airbnb falls after disappointing subscriber growth following disappointing management guidance, supporting a bearish outlook",0
"After the closing bell, Nike reports strong cash flow and higher guidance",1
"Meta expands into new international markets, lifting investor sentiment",1
JPMorgan misses quarterly revenue expectations in premarket trading,0
Nike benefits from lower production costs as investor confidence improves,1
Intel cuts full-year profit forecast as trading volume rises,0
"Adobe receives analyst upgrade after earnings beat after cost controls improve profitability, sending shares higher",1
IBM receives analyst downgrade after earnings miss while analysts cut price targets,0
Mastercard reports drop in advertising revenue as investors worry about slowing growth,0
"Tesla lowers production targets for the year, sending shares lower",0
"Target slumps after management cuts outlook following disappointing management guidance, hurting investor sentiment",0
"Uber raises full-year revenue guidance, supporting a bullish outlook",1
Google announces strategic acquisition to boost growth following upbeat management commentary,1
Adobe posts robust holiday quarter results before the market open,1
"Mastercard raises full-year revenue guidance following upbeat management commentary, boosting confidence in the sector",1
"Meta posts record cloud revenue growth, lifting investor sentiment",1
"Microsoft lowers production targets for the year as demand weakens across major segments, raising concerns across the sector",0
"ExxonMobil announces strategic acquisition to boost growth, boosting confidence in the sector",1
"Mastercard receives analyst downgrade after earnings miss as investors worry about slowing growth, sending shares lower",0
"Shopify misses quarterly revenue expectations following disappointing management guidance, supporting a bearish outlook",0
"Mastercard announces strategic acquisition to boost growth, supporting a bullish outlook",1
"Amazon warns of slowing sales growth as recession fears weigh on outlook, raising concerns across the sector",0
"Meta cuts full-year profit forecast while analysts cut price targets, sending shares lower",0
"Microsoft announces stock buyback plan following upbeat management commentary, boosting confidence in the sector",1
"Nike receives analyst downgrade after earnings miss, raising concerns across the sector",0
"Intel shares jump after strong demand outlook after cost controls improve profitability, sending shares higher",1
Shopify sees strong improvement in operating margin before the market open,1
Oracle launches successful new product line as margins improve across core businesses,1
"Target shares jump after strong demand outlook, lifting investor sentiment",1
"During the morning session, Microsoft lowers production targets for the year",0
Amazon faces regulatory investigation over business practices as macroeconomic pressure intensifies,0
"JPMorgan reports drop in advertising revenue, supporting a bearish outlook",0
"ExxonMobil reports drop in advertising revenue following disappointing management guidance, sending shares lower",0
"Walmart receives analyst upgrade after earnings beat, lifting investor sentiment",1
"During the morning session, Uber cuts full-year profit forecast",0
"Coca-Cola announces stock buyback plan, boosting confidence in the sector",1
"Microsoft receives analyst downgrade after earnings miss, raising concerns across the sector",0
"ExxonMobil announces layoffs amid restructuring concerns due to soft demand in overseas markets, supporting a bearish outlook",0
"Netflix faces regulatory investigation over business practices as recession fears weigh on outlook, hurting investor sentiment",0
"After the closing bell, Pfizer delays major product launch",0
AMD faces supply chain disruptions in key markets while analysts cut price targets,0
Target reports decline in international sales following disappointing management guidance,0
"In early trading, Salesforce reports decline in international sales",0
"In premarket trading, Walmart reports strong cash flow and higher guidance",1
Nvidia benefits from lower production costs before the market open,1
"In early trading, Nike rallies after management issues optimistic outlook",1
Google sees strong improvement in operating margin after the closing bell,1
"Intel faces supply chain disruptions in key markets due to soft demand in overseas markets, sending shares lower",0
"Coca-Cola issues cautious guidance for next quarter, raising concerns across the sector",0
"In early trading, Amazon sees rising costs pressure profitability",0
"Tesla beats analyst expectations on profit as market sentiment turns positive, lifting investor sentiment",1
Shopify faces legal challenges tied to recent acquisition during the morning session,0
"Nike shares jump after strong demand outlook after cost controls improve profitability, boosting confidence in the sector",1
JPMorgan reports strong cash flow and higher guidance before the market open,1
Boeing reports decline in margins this quarter as investors worry about slowing growth,0
Shopify issues cautious guidance for next quarter after rising costs hurt margins,0
"Pfizer shares jump after strong demand outlook following upbeat management commentary, supporting a bullish outlook",1
Nike reports stronger-than-expected quarterly earnings as market sentiment turns positive,1
"During the morning session, JPMorgan reports surge in subscription growth",1
"AMD misses quarterly revenue expectations as demand weakens across major segments, raising concerns across the sector",0
Meta misses delivery estimates for the quarter as investors worry about slowing growth,0
"In premarket trading, Nike benefits from lower production costs",1
"Nvidia posts weaker-than-expected earnings results, sending shares lower",0
Nvidia slumps after management cuts outlook after the closing bell,0
Airbnb posts robust holiday quarter results as trading volume rises,1
"Boeing reports surge in subscription growth as demand rebounds across segments, supporting a bullish outlook",1
"Adobe delays major product launch as recession fears weigh on outlook, supporting a bearish outlook",0
"After the closing bell, Goldman Sachs posts record cloud revenue growth",1
"IBM raises full-year revenue guidance following upbeat management commentary, sending shares higher",1
"AMD reports decline in margins this quarter, sending shares lower",0
"Mastercard reports drop in advertising revenue, sending shares lower",0
"Target misses delivery estimates for the quarter, raising concerns across the sector",0
"In early trading, Oracle faces regulatory investigation over business practices",0
Apple posts robust holiday quarter results amid strong consumer demand,1
"Coca-Cola lowers production targets for the year, raising concerns across the sector",0
Microsoft posts record cloud revenue growth in premarket trading,1
Coca-Cola misses delivery estimates for the quarter in premarket trading,0
"Airbnb benefits from lower production costs, supporting a bullish outlook",1
"In premarket trading, Boeing delays major product launch",0
Oracle announces stock buyback plan in early trading,1
Netflix announces layoffs amid restructuring concerns during the morning session,0
"Meta shares jump after strong demand outlook as market sentiment turns positive, boosting confidence in the sector",1
Nike misses quarterly revenue expectations during the morning session,0
"Coca-Cola announces major AI partnership while analysts raise price targets, sending shares higher",1
"Visa posts weaker-than-expected earnings results, supporting a bearish outlook",0
AMD sees rising costs pressure profitability in early trading,0
"Nike wins large government contract after cost controls improve profitability, supporting a bullish outlook",1
"ExxonMobil reports decline in margins this quarter, supporting a bearish outlook",0
"After the closing bell, Netflix gains after better-than-expected sales results",1
"In early trading, JPMorgan posts record cloud revenue growth",1
"Walmart issues cautious guidance for next quarter, supporting a bearish outlook",0
"Nvidia sees strong improvement in operating margin, supporting a bullish outlook",1
"Before the market open, Uber faces regulatory investigation over business practices",0
"Target faces legal challenges tied to recent acquisition as investors worry about slowing growth, hurting investor sentiment",0
"As trading volume rises, Amazon posts robust holiday quarter results",1
"Amazon slumps after management cuts outlook following disappointing management guidance, hurting investor sentiment",0
"Intel lowers production targets for the year as macroeconomic pressure intensifies, raising concerns across the sector",0
"During the morning session, Nike posts record cloud revenue growth",1
Tesla wins large government contract after cost controls improve profitability,1
"Coca-Cola posts record cloud revenue growth, supporting a bullish outlook",1
Walmart posts record cloud revenue growth after the closing bell,1
"JPMorgan warns of slowing sales growth, supporting a bearish outlook",0
Walmart misses delivery estimates for the quarter during the morning session,0
"During the morning session, Microsoft reports surge in subscription growth",1
IBM lowers production targets for the year during the morning session,0
Meta misses quarterly revenue expectations before the market open,0
Goldman Sachs misses quarterly revenue expectations following disappointing management guidance,0
Amazon posts robust holiday quarter results after the closing bell,1
"Before the market open, Apple raises full-year revenue guidance",1
"Before the market open, Amazon reports decline in margins this quarter",0
"Boeing announces stock buyback plan following upbeat management commentary, boosting confidence in the sector",1
AMD warns of slowing sales growth in early trading,0
"Microsoft receives analyst downgrade after earnings miss as recession fears weigh on outlook, sending shares lower",0
Airbnb delivers upbeat forecast for next quarter during the morning session,1
"Intel issues cautious guidance for next quarter, hurting investor sentiment",0
"Walmart warns of slowing sales growth, supporting a bearish outlook",0
Goldman Sachs sees strong improvement in operating margin as trading volume rises,1
Intel reports drop in advertising revenue in premarket trading,0
Walmart expands into new international markets during the morning session,1
"Netflix falls after disappointing subscriber growth after rising costs hurt margins, raising concerns across the sector",0
"After the closing bell, Microsoft expands into new international markets",1
Shopify expands into new international markets as trading volume rises,1
Google announces stock buyback plan as investor confidence improves,1
Oracle reports surge in subscription growth on strong guidance for the second half,1
Uber receives analyst downgrade after earnings miss during the morning session,0
"Google delivers upbeat forecast for next quarter while analysts raise price targets, sending shares higher",1
Google sees rising costs pressure profitability after the closing bell,0
"IBM reports stronger-than-expected quarterly earnings, boosting confidence in the sector",1
Mastercard benefits from lower production costs as demand rebounds across segments,1
"Walmart reports decline in international sales amid weaker consumer spending, supporting a bearish outlook",0
"Adobe faces legal challenges tied to recent acquisition, sending shares lower",0
Pfizer faces legal challenges tied to recent acquisition amid weaker consumer spending,0
"IBM reports surge in subscription growth, lifting investor sentiment",1
AMD warns of slowing sales growth as trading volume rises,0
Apple delays major product launch amid uncertainty in the tech sector,0
IBM announces stock buyback plan as investor confidence improves,1
"Boeing announces stock buyback plan, sending shares higher",1
Shopify announces strategic acquisition to boost growth in early trading,1
"IBM reports decline in international sales after rising costs hurt margins, supporting a bearish outlook",0
Goldman Sachs delays major product launch as recession fears weigh on outlook,0
Oracle faces regulatory investigation over business practices while analysts cut price targets,0
Shopify misses delivery estimates for the quarter after rising costs hurt margins,0
"In early trading, IBM wins large government contract",1
"Apple issues cautious guidance for next quarter amid weaker consumer spending, sending shares lower",0
"Uber announces layoffs amid restructuring concerns as macroeconomic pressure intensifies, sending shares lower",0
Oracle raises full-year revenue guidance while analysts raise price targets,1
"Target wins large government contract on strong guidance for the second half, lifting investor sentiment",1
Microsoft announces stock buyback plan while analysts raise price targets,1
"Google slumps after management cuts outlook, supporting a bearish outlook",0
Meta cuts full-year profit forecast during the morning session,0
"In early trading, Nike sees rising costs pressure profitability",0
"Walmart sees rising costs pressure profitability, hurting investor sentiment",0
Airbnb raises full-year revenue guidance driven by AI-related growth,1
"As trading volume rises, Target cuts full-year profit forecast",0
Mastercard faces legal challenges tied to recent acquisition in premarket trading,0
"As trading volume rises, ExxonMobil benefits from lower production costs",1
"Google reports decline in margins this quarter as investors worry about slowing growth, supporting a bearish outlook",0
"Shopify expands into new international markets as market sentiment turns positive, lifting investor sentiment",1
Ford gains after better-than-expected sales results as trading volume rises,1
"ExxonMobil delays major product launch amid weaker consumer spending, raising concerns across the sector",0
"In early trading, Meta reports decline in margins this quarter",0
"In premarket trading, Intel misses quarterly revenue expectations",0
Goldman Sachs shares jump after strong demand outlook as demand rebounds across segments,1
"As trading volume rises, JPMorgan reports stronger-than-expected quarterly earnings",1
Goldman Sachs delivers upbeat forecast for next quarter as market sentiment turns positive,1
Shopify reports drop in advertising revenue as investors worry about slowing growth,0
"Visa lowers production targets for the year as macroeconomic pressure intensifies, supporting a bearish outlook",0
Boeing announces major AI partnership on strong guidance for the second half,1
"Netflix misses delivery estimates for the quarter after rising costs hurt margins, sending shares lower",0
"After the closing bell, Boeing rallies after management issues optimistic outlook",1
Tesla misses delivery estimates for the quarter due to soft demand in overseas markets,0
JPMorgan reports surge in subscription growth as market sentiment turns positive,1
"Visa misses quarterly revenue expectations as investors worry about slowing growth, supporting a bearish outlook",0
"ExxonMobil shares fall after weak demand outlook as demand weakens across major segments, hurting investor sentiment",0
JPMorgan faces legal challenges tied to recent acquisition in early trading,0
"Before the market open, Airbnb reports decline in margins this quarter",0
IBM faces legal challenges tied to recent acquisition while analysts cut price targets,0
"AMD reports decline in margins this quarter following disappointing management guidance, sending shares lower",0
"Oracle faces regulatory investigation over business practices, raising concerns across the sector",0
"Microsoft announces stock buyback plan while analysts raise price targets, lifting investor sentiment",1
"Salesforce faces legal challenges tied to recent acquisition, hurting investor sentiment",0
AMD posts robust holiday quarter results after the closing bell,1
Airbnb posts record cloud revenue growth in early trading,1
"Airbnb receives analyst downgrade after earnings miss after rising costs hurt margins, supporting a bearish outlook",0
Amazon faces legal challenges tied to recent acquisition before the market open,0
"After the closing bell, Adobe posts robust holiday quarter results",1
"Walmart wins large government contract as market sentiment turns positive, lifting investor sentiment",1
Pfizer faces legal challenges tied to recent acquisition before the market open,0
"Goldman Sachs lowers production targets for the year after rising costs hurt margins, sending shares lower",0
Apple gains after better-than-expected sales results as investor confidence improves,1
Goldman Sachs shares jump after strong demand outlook as market sentiment turns positive,1
Amazon faces supply chain disruptions in key markets in premarket trading,0
Shopify slumps after management cuts outlook in premarket trading,0
JPMorgan wins large government contract as investor confidence improves,1
Microsoft lowers production targets for the year amid uncertainty in the tech sector,0
JPMorgan rallies after management issues optimistic outlook before the market open,1
ExxonMobil issues cautious guidance for next quarter in early trading,0
"During the morning session, Ford reports surge in subscription growth",1
"In premarket trading, AMD posts weaker-than-expected earnings results",0
Goldman Sachs reports surge in subscription growth as trading volume rises,1
Uber wins large government contract while analysts raise price targets,1
"Oracle raises full-year revenue guidance, supporting a bullish outlook",1
"Microsoft faces regulatory investigation over business practices amid weaker consumer spending, raising concerns across the sector",0
Uber gains after better-than-expected sales results before the market open,1
"IBM issues cautious guidance for next quarter, supporting a bearish outlook",0
"Pfizer rallies after management issues optimistic outlook as margins improve across core businesses, supporting a bullish outlook",1
"Shopify faces legal challenges tied to recent acquisition after rising costs hurt margins, supporting a bearish outlook",0
"During the morning session, Salesforce posts robust holiday quarter results",1
Amazon faces supply chain disruptions in key markets as recession fears weigh on outlook,0
"Nvidia misses quarterly revenue expectations, raising concerns across the sector",0
"After the closing bell, Mastercard reports stronger-than-expected quarterly earnings",1
"Visa delivers upbeat forecast for next quarter as margins improve across core businesses, boosting confidence in the sector",1
"Shopify misses delivery estimates for the quarter, supporting a bearish outlook",0
"Airbnb shares fall after weak demand outlook, hurting investor sentiment",0
Pfizer announces stock buyback plan in premarket trading,1
"Shopify delivers upbeat forecast for next quarter, boosting confidence in the sector",1
Netflix reports strong cash flow and higher guidance after the closing bell,1
Adobe faces regulatory investigation over business practices as trading volume rises,0
ExxonMobil sees strong improvement in operating margin following upbeat management commentary,1
Google receives analyst upgrade after earnings beat after the closing bell,1
Airbnb receives analyst downgrade after earnings miss as trading volume rises,0
Netflix shares fall after weak demand outlook before the market open,0
"Tesla warns of slowing sales growth, raising concerns across the sector",0
Microsoft launches successful new product line before the market open,1
"IBM delivers upbeat forecast for next quarter, boosting confidence in the sector",1
"Coca-Cola misses delivery estimates for the quarter, raising concerns across the sector",0
Nvidia reports strong cash flow and higher guidance as market sentiment turns positive,1
Oracle announces major AI partnership in early trading,1
Boeing announces major AI partnership as trading volume rises,1
Pfizer slumps after management cuts outlook in premarket trading,0
AMD benefits from lower production costs in premarket trading,1
"Ford rallies after management issues optimistic outlook, lifting investor sentiment",1
Adobe reports strong cash flow and higher guidance following upbeat management commentary,1
Microsoft rallies after management issues optimistic outlook as margins improve across core businesses,1
ExxonMobil announces layoffs amid restructuring concerns as investors worry about slowing growth,0
"As trading volume rises, Intel shares jump after strong demand outlook",1
Visa gains after better-than-expected sales results in early trading,1
Target reports decline in international sales after rising costs hurt margins,0
Meta expands into new international markets as margins improve across core businesses,1
"After the closing bell, Salesforce receives analyst upgrade after earnings beat",1
Tesla faces supply chain disruptions in key markets amid uncertainty in the tech sector,0
Target misses delivery estimates for the quarter following disappointing management guidance,0
"Salesforce warns of slowing sales growth, raising concerns across the sector",0
"Before the market open, IBM posts robust holiday quarter results",1
"Before the market open, Airbnb shares jump after strong demand outlook",1
"Amazon shares jump after strong demand outlook as investor confidence improves, boosting confidence in the sector",1
Google receives analyst upgrade after earnings beat in early trading,1
Pfizer posts weaker-than-expected earnings results in early trading,0
"Meta lowers production targets for the year as demand weakens across major segments, hurting investor sentiment",0
Microsoft announces stock buyback plan during the morning session,1
JPMorgan warns of slowing sales growth in early trading,0
"Before the market open, Visa lowers production targets for the year",0
"Salesforce wins large government contract, boosting confidence in the sector",1
"In early trading, Goldman Sachs announces stock buyback plan",1
"Target announces stock buyback plan, boosting confidence in the sector",1
"Adobe falls after disappointing subscriber growth as investors worry about slowing growth, raising concerns across the sector",0
"In premarket trading, Boeing shares jump after strong demand outlook",1
"Amazon warns of slowing sales growth following disappointing management guidance, supporting a bearish outlook",0
"Ford raises full-year revenue guidance, lifting investor sentiment",1
Target warns of slowing sales growth as trading volume rises,0
Oracle launches successful new product line as trading volume rises,1
ExxonMobil sees rising costs pressure profitability as trading volume rises,0
"Uber reports stronger-than-expected quarterly earnings, lifting investor sentiment",1
"Pfizer benefits from lower production costs while analysts raise price targets, lifting investor sentiment",1
Walmart receives analyst upgrade after earnings beat as trading volume rises,1
"Salesforce receives analyst upgrade after earnings beat after cost controls improve profitability, boosting confidence in the sector",1
AMD gains after better-than-expected sales results as trading volume rises,1
